Name,Bitcoin,Chainlink,Cosmos,EOS,Ethereum,Litecoin,NEM,Solana,Stellar,Tether,XRP
Bitcoin,1.0,0.9339148342820804,0.9378438134576129,0.11722991920844686,0.9041473286838776,0.8126786913465284,0.46571431747908437,0.7168566598691625,0.9549131208593963,0.03640288576493988,0.6205040738594435
Chainlink,0.9339148342820804,1.0,0.9267091449771931,-0.029476865271738997,0.8629132776377849,0.5702159718184855,0.18508212776745853,0.7930017153522358,0.9598661461741004,-0.10612696530881988,0.32227483573846477
Cosmos,0.9378438134576129,0.9267091449771931,1.0,0.5918386505724726,0.9073224454411557,0.9257600503657792,0.858711282099233,0.7777630008430511,0.9564274528237061,-0.15457263293579063,0.8229565094401996
EOS,0.11722991920844686,-0.029476865271738997,0.5918386505724726,1.0,0.3218678917036223,0.594467015809556,0.5296621412384003,0.8416031362840201,0.8050485434224781,-0.08732136885491432,0.663071830823874
Ethereum,0.9041473286838776,0.8629132776377849,0.9073224454411557,0.3218678917036223,1.0,0.8312737181643819,0.5279832347574867,0.9272815421005791,0.9435475057269809,0.03153763769380783,0.6996973515588364
Litecoin,0.8126786913465284,0.5702159718184855,0.9257600503657792,0.594467015809556,0.8312737181643819,1.0,0.7648410451823073,0.8055456760643847,0.9739543489509027,0.0825837045501377,0.8752960665957054
NEM,0.46571431747908437,0.18508212776745853,0.858711282099233,0.5296621412384003,0.5279832347574867,0.7648410451823073,1.0,0.435057792827363,0.8230687793780942,0.11837692472184935,0.8281277519811896
Solana,0.7168566598691625,0.7930017153522358,0.7777630008430511,0.8416031362840201,0.9272815421005791,0.8055456760643847,0.435057792827363,1.0,0.7947882302346372,-0.13453657225014026,0.8856550908846959
Stellar,0.9549131208593963,0.9598661461741004,0.9564274528237061,0.8050485434224781,0.9435475057269809,0.9739543489509027,0.8230687793780942,0.7947882302346372,1.0,-0.08814215926629182,0.8624019429779436
Tether,0.03640288576493988,-0.10612696530881988,-0.15457263293579063,-0.08732136885491432,0.03153763769380783,0.0825837045501377,0.11837692472184935,-0.13453657225014026,-0.08814215926629182,1.0,0.07094787010405575
XRP,0.6205040738594435,0.32227483573846477,0.8229565094401996,0.663071830823874,0.6996973515588364,0.8752960665957054,0.8281277519811896,0.8856550908846959,0.8624019429779436,0.07094787010405575,1.0
