Name,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
Bitcoin,6705.92272295082,6723.423610981308,6725.651482903981,6712.977657142857,6689.981965573771,6735.061622663551,6685.929955503513
Chainlink,6.282442424242425,6.299733838383838,6.293953535353536,6.333555555555556,6.255945454545455,6.385308585858586,6.3091507614213205
Cosmos,6.802304132231405,6.793642975206612,6.77424958677686,6.788695041322314,6.698215833333333,6.828635537190083,6.689721666666667
EOS,4.619669377990431,4.587288571428571,4.677772248803827,4.622043333333333,4.621512440191387,4.6222747619047615,4.6182492822966505
Ethereum,380.9444571428572,386.9554776699029,381.7591786407767,384.0254174757282,381.6033551948052,389.9389236245955,382.12518376623376
Litecoin,49.0414531615925,49.27501378504673,49.55604004683841,49.40781428571428,48.79115807962529,49.752797663551405,49.127681264637
NEM,0.12401590214067278,0.1256743119266055,0.12520152905198775,0.12508532110091744,0.1231532110091743,0.12479388379204893,0.12470705521472392
Solana,10.236664062500001,10.58065076923077,10.227553846153846,10.594329230769231,10.5291109375,10.764333846153846,10.3626796875
Stellar,0.19063037974683544,0.19331645569620254,0.1923253164556962,0.19202025316455698,0.1913139240506329,0.1956291139240506,0.19060632911392406
Tether,1.0011643504531722,0.9995219879518072,1.001269486404834,1.0011051359516616,1.0016247734138972,0.9994478915662651,1.0007378787878787
XRP,0.23538910411622277,0.23467826086956523,0.23660290556900726,0.23605762711864406,0.23448958837772396,0.2339074879227053,0.23240629539951574
