crypto_grouped,High,Low,Open,Close,Volume,Marketcap
Bitcoin,6893.326038482113,6486.009538749582,6700.146239819458,6711.290443263122,10906334004.866829,120876059112.8843
Chainlink,6.633354945848375,5.920969025270758,6.294481227436823,6.308583898916967,692360795.5820214,2494641990.040149
Cosmos,7.141688284023669,6.367329230769231,6.759896094674556,6.7680985798816575,296341273.6254024,1332950017.2066345
EOS,4.839459276944066,4.384312619372442,4.623295361527967,4.624087926330151,1888406404.0501614,3941338165.622717
Ethereum,398.25856787037037,365.5925891203704,382.87989930555557,383.9106912037037,7057057896.879462,41720840040.40067
Litecoin,51.34439638916751,46.93122654630559,49.247364560347705,49.27900835840856,1284851457.2350283,2934139197.0874386
NEM,0.13211276223776225,0.11624685314685315,0.12470244755244757,0.12466158216783217,44281301.198329106,1121956433.6095908
Solana,11.190479867256638,9.647553761061948,10.400223008849558,10.471388274336283,195675060.59095973,2588163938.95438
Stellar,0.20326799276672694,0.1810777576853526,0.19185569620253165,0.1922631103074141,902887010.5229723,4264939411.3852882
Tether,1.006775711820535,0.9956697584124246,1.0006553925798103,1.0006948662640207,19384839322.757904,6128740976.64412
XRP,0.24659160041479433,0.22199923954372622,0.23454956792257173,0.23478983753888696,1260299342.9771745,9678506599.807404
